sentence,cause,effect,is_causal
"28th March 2012 01:49 AM NEW DELHI : The Lok Sabha on Tuesday lashed out against Team Anna members for the intemperate language they used against Members of Parliament, and strongly condemned them for “ lowering the dignity of the House ” with the remarks they made during Anna Hazare ’ s one-day fast at Jantar Mantar on Sunday.",the remarks they made during Anna Hazare ’ s one-day fast at Jantar Mantar on Sunday,“ lowering the dignity of the House ”,1
"NSCN(K) Claims Responsibility for Ambush on Army in Manipur 05th June 2015 03:41 PM GUWAHATI / KOHIMA : Naga insurgent outfit NSCN ( Khaplang ), with which the Centre abrogated ceasefire in March, has claimed responsibility for the ambush in Manipur in which 18 army personnel were killed and 10 others injured.",the ambush in Manipur,"Naga insurgent outfit NSCN ( Khaplang ), with which the Centre abrogated ceasefire in March, has claimed responsibility",1
"NSCN(K) Claims Responsibility for Ambush on Army in Manipur 05th June 2015 03:41 PM GUWAHATI / KOHIMA : Naga insurgent outfit NSCN ( Khaplang ), with which the Centre abrogated ceasefire in March, has claimed responsibility for the ambush in Manipur in which 18 army personnel were killed and 10 others injured.",the ambush in Manipur,18 army personnel were killed and 10 others injured,1
"It claimed that during the attack a five-vehicle convoy of 6th Dogra Regiment was "" assaulted "" at Tengnoupal-New Somtal Road in Chandel district of Manipur.",the attack,"a five-vehicle convoy of 6th Dogra Regiment was "" assaulted "" at Tengnoupal-New Somtal Road in Chandel district of Manipur",1
"After the ceasefire abrogation in March this year, NSCN(K) had on May 3 attacked and killed nine Assam Rifles personnel in Mon district.",the ceasefire abrogation in March this year,NSCN(K) had on May 3 attacked and killed nine Assam Rifles personnel in Mon district,1
"Another AR personnel was killed in Kohima on May 6 by the insurgent outfit, while four personnel of the para-military force were injured in an attack by the group at Kohima in April.",the insurgent outfit,Another AR personnel was killed in Kohima on May 6,1
"Another AR personnel was killed in Kohima on May 6 by the insurgent outfit, while four personnel of the para-military force were injured in an attack by the group at Kohima in April.",an attack by the group at Kohima in April,four personnel of the para-military force were injured,1
"Another AR personnel was killed in Kohima on May 6 by the insurgent outfit, while four personnel of the para-military force were injured in an attack by the group at Kohima in April.",the group,an attack,1
Christians flay Commission ’ s report 21st February 2011 04:25 AM MANGALORE : Thousands of Christians took out a silent march from Ambedkar ( Jyothi ) Circle to Nehru Maidan on Sunday by wrapping their mouth with black cloth and holding black flags to oppose Justice Somasekhara Commission ’ s report on church attacks., to oppose Justice Somasekhara Commission ’ s report on church attacks,Thousands of Christians took out a silent march from Ambedkar ( Jyothi ) Circle to Nehru Maidan on Sunday by wrapping their mouth with black cloth and holding black flags,1
Christians flay Commission ’ s report 21st February 2011 04:25 AM MANGALORE : Thousands of Christians took out a silent march from Ambedkar ( Jyothi ) Circle to Nehru Maidan on Sunday by wrapping their mouth with black cloth and holding black flags to oppose Justice Somasekhara Commission ’ s report on church attacks.,Thousands of Christians took out a silent march from Ambedkar ( Jyothi ) Circle to Nehru Maidan on Sunday,wrapping their mouth with black cloth and holding black flags,1
"In Bhaderwah and Thathri, protestors took out a march and burnt tyres demanding arrest of the culprits and punishment to them.", demanding arrest of the culprits and punishment to them,protestors took out a march and burnt tyres,1
DUT was closed last week after about 300 students clashed with police and campus security personnel in running battles on the institution 's Steve Biko campus in Durban.,about 300 students clashed with police and campus security personnel in running battles on the institution 's Steve Biko campus in Durban,DUT was closed last week,1
"If an agreement was not reached the protests would continue, Gumede said.",an agreement was not reached,the protests would continue,1
There was a shutdown in various towns in Jammu regions against the incident.,against the incident,There was a shutdown in various towns in Jammu regions,1
"The labour minister 's announcement followed countrywide public hearings on a new minimum wage for the agriculture sector, which were prompted by violent protests in parts of the Western Cape.",countrywide public hearings on a new minimum wage for the agriculture sector,The labour minister 's announcement,1
"The labour minister 's announcement followed countrywide public hearings on a new minimum wage for the agriculture sector, which were prompted by violent protests in parts of the Western Cape.",violent protests in parts of the Western Cape,countrywide public hearings on a new minimum wage for the agriculture sector,1
"`` Workers have realised that they are not going to get anything for nothing, '' he said of the strikes that brought farming activity to a standstill in fruit-growing regions of the province in recent months.",Workers have realised that they are not going to get anything for nothing,the strikes that brought farming activity to a standstill in fruit-growing regions of the province in recent months,1
12 Dec 2017 A heavy police presence was not enough to stop some diehard followers of Bo Xilai from getting close to the Jinan Intermediate Court to voice their support in front of the world 's media yesterday., to voice their support in front of the world 's media yesterday,some diehard followers of Bo Xilai from getting close to the Jinan Intermediate Court,1
